line_id, coordinate_x, coordinate_y
1, 16.2049, 0.998991
1, 16.405, 0.998985
1, 16.605, 0.998978
1, 16.8051, 0.998971
1, 17.0052, 0.998965
1, 17.2052, 0.998958
1, 17.4053, 0.998952
1, 17.6054, 0.998946
1, 17.8054, 0.99894
1, 18.0055, 0.998934
1, 18.2056, 0.998929
1, 18.4056, 0.998923
1, 18.6057, 0.998918
1, 18.8058, 0.998912
1, 19.0058, 0.998907
1, 19.2059, 0.998902
1, 19.406, 0.998897
1, 19.606, 0.998892
1, 19.8061, 0.998887
2, 0, 2
2, 0.200041, 2
2, 0.400085, 1.99999
2, 0.600131, 1.99999
2, 0.800179, 1.99998
2, 1.00023, 1.99996
2, 1.20028, 1.99994
2, 1.40034, 1.99992
2, 1.6004, 1.9999
2, 1.80046, 1.99988
2, 2.00052, 1.99985
2, 2.20058, 1.99982
2, 2.40065, 1.99979
2, 2.60072, 1.99975
2, 2.80079, 1.99972
2, 3.00086, 1.99968
2, 3.20093, 1.99965
2, 3.401, 1.99961
2, 3.60108, 1.99958
2, 3.80115, 1.99954
2, 4.00122, 1.99951
2, 4.20129, 1.99947
2, 4.40137, 1.99944
2, 4.60144, 1.9994
2, 4.80151, 1.99937
2, 5.00159, 1.99934
2, 5.20166, 1.99931
2, 5.40173, 1.99927
2, 5.60181, 1.99924
2, 5.80189, 1.99921
2, 6.00196, 1.99918
2, 6.20204, 1.99915
2, 6.40211, 1.99912
2, 6.60219, 1.99909
2, 6.80227, 1.99906
2, 7.00235, 1.99903
2, 7.20242, 1.999
2, 7.4025, 1.99898
2, 7.60258, 1.99895
2, 7.80266, 1.99892
2, 8.00274, 1.99889
2, 8.20281, 1.99887
2, 8.40289, 1.99884
2, 8.60297, 1.99881
2, 8.80305, 1.99879
2, 9.00313, 1.99876
2, 9.20321, 1.99874
2, 9.40329, 1.99871
2, 9.60337, 1.99869
2, 9.80345, 1.99866
2, 10.0035, 1.99864
2, 10.2036, 1.99862
2, 10.4037, 1.99859
2, 10.6038, 1.99857
2, 10.8039, 1.99855
2, 11.0039, 1.99853
2, 11.204, 1.9985
2, 11.4041, 1.99848
2, 11.6042, 1.99846
2, 11.8043, 1.99844
2, 12.0044, 1.99842
2, 12.2044, 1.9984
2, 12.4045, 1.99838
2, 12.6046, 1.99836
2, 12.8047, 1.99834
2, 13.0048, 1.99832
2, 13.2049, 1.9983
2, 13.405, 1.99829
2, 13.605, 1.99827
2, 13.8051, 1.99825
2, 14.0052, 1.99823
2, 14.2053, 1.99821
2, 14.4054, 1.9982
2, 14.6055, 1.99818
2, 14.8056, 1.99816
2, 15.0056, 1.99815
2, 15.2057, 1.99813
2, 15.4058, 1.99812
2, 15.6059, 1.9981
2, 15.806, 1.99809
2, 16.0061, 1.99807
2, 16.2062, 1.99806
2, 16.4063, 1.99804
2, 16.6064, 1.99803
2, 16.8064, 1.99801
2, 17.0065, 1.998
2, 17.2066, 1.99799
2, 17.4067, 1.99797
2, 17.6068, 1.99796
2, 17.8069, 1.99795
2, 18.007, 1.99794
2, 18.2071, 1.99792
